model,cmapss/FD001,phm_milling,wind_scada,mean
chronos,14.961389541625977,3.2122550010681152,0.7015150189399719,6.291719853878021
lag_llama,15.186690330505371,3.2499477863311768,0.763439416885376,6.400025844573975
moment,15.890652656555176,3.4266724586486816,0.9089639782905579,6.742096364498138
patchtst,15.071355819702148,3.216459035873413,0.7013115882873535,6.329708814620972
