model,FD001,FD002,FD003,FD004
chronos,14.961430549621582,15.894770622253418,18.387371063232422,19.656604766845703
lag_llama,15.185806274414062,16.12881088256836,18.793994903564453,19.896717071533203
moment,15.890687942504883,16.02603530883789,20.337921142578125,19.7963924407959
patchtst,15.071355819702148,15.783552169799805,18.667638778686523,19.541902542114258
