scenario,model,dataset,mae,rmse,mape
few_shot,chronos,cmapss/FD001,15.864703178405762,18.992679189439514,94.05736987582702
few_shot,chronos,phm_milling,3.792011260986328,4.5011440518237755,101.84361437537474
few_shot,chronos,wind_scada,0.8926066160202026,1.0512974828821495,103.84003148531737
few_shot,lag_llama,cmapss/FD001,15.829662322998047,18.961858110118882,93.70495437431984
few_shot,lag_llama,phm_milling,3.7960166931152344,4.506230809016109,101.61435494100618
few_shot,lag_llama,wind_scada,0.9028844237327576,1.0604602644875798,103.63476159274067
few_shot,moment,cmapss/FD001,15.707145690917969,18.852076473256616,92.45449045750618
few_shot,moment,phm_milling,3.7917609214782715,4.496474050285145,102.99679134836603
few_shot,moment,wind_scada,0.9038813710212708,1.0614913191581896,103.57334325851866
few_shot,patchtst,cmapss/FD001,15.15208911895752,18.40868627101373,86.88078456679776
few_shot,patchtst,phm_milling,3.2434885501861572,3.963121884039024,220.83658001384282
few_shot,patchtst,wind_scada,0.6992182731628418,0.9179087517792919,117.76099218984332
